Date,Location,Surface Water Temp (°C),Middle Water Temp (°C),Bottom Water Temp (°C),pH Level,Ammonia (mg/L),Nitrate-N/Nitrite-N  (mg/L),Phosphate (mg/L),Dissolved Oxygen (mg/L)
2013-01,Wawa Tanauan,26.3,,,8.52,0.83,0.02,,0.98
2013-01,Aya Talisay,26.4,,,8.63,0.00,0.02,,5.66
2013-02,Aya Talisay,26.5,,,8.62,0.56,0.07,,4.44
2013-02,Tumaway Talisay,26.6,,,8.64,0.53,0.07,,5.80
2013-02,Sampaloc Talisay,26.9,,,8.77,0.53,0.07,,6.51
2013-02,Berinayan Laurel,27.0,,,8.80,0.48,0.00,,5.99
2013-02,Balakilong Laurel,27.1,,,8.78,0.48,0.03,,6.74
2013-02,Buso Buso Laurel,27.0,,,8.72,0.47,0.07,,6.55
2013-02,Bañaga Agoncillo,27.0,,,8.72,0.47,0.01,,6.20
2013-02,Bilibinwang Agoncillo,27.0,,,8.98,0.37,0.00,,6.59
2013-02,Subic Ilaya Agoncilo,27.0,,,9.09,0.47,0.01,,7.83
2013-02,San Nicolas,26.8,,,8.78,,,,7.39
2013-02,Mataas na Kahoy,26.4,,,8.87,0.47,0.01,,6.95
2013-02,Tanauan,26.3,,,8.68,0.43,0.00,,9.37
2013-03,Aya Talisay,29.0,,,8.50,0.00,0.00,,7.47
2013-03,Tumaway Talisay,29.0,,,9.00,0.00,0.00,,7.39
2013-03,Sampaloc Talisay,29.5,,,8.50,0.01,0.00,,7.90
2013-03,Berinayan Laurel,29.5,,,8.50,0.03,0.00,,8.38
2013-03,Balakilong Laurel,28.5,,,8.25,0.03,0.00,,7.37
2013-03,Buso Buso Laurel,29.0,,,8.50,0.00,0.00,,7.69
2013-03,Bañaga Agoncillo,29.0,,,8.50,0.02,0.01,,8.18
2013-03,Bilibinwang Agoncillo,29.5,,,8.50,0.00,0.00,,8.61
2013-03,Subic Ilaya Agoncilo,29.5,,,8.75,0.01,0.00,,8.14
2013-03,San Nicolas,29.5,,,8.75,0.01,0.00,,9.16
2013-03,Mataas na Kahoy,28.5,,,8.50,0.00,0.00,,8.55
2013-03,Tanauan,28.0,,,8.50,0.00,0.00,,9.32
2013-04,Aya Talisay,29.5,27.0,26.5,8.00,0.01,0.01,,2.46
2013-04,Tumaway Talisay,29.0,26.8,26.4,8.00,0.02,0.01,,2.93
2013-04,Sampaloc Talisay,31.0,27.0,26.5,8.00,0.01,0.00,,6.79
2013-04,Berinayan Laurel,31.1,27.0,27.0,8.00,0.10,0.00,,5.69
2013-04,Balakilong Laurel,32.0,28.0,27.5,8.00,0.05,0.00,,7.63
2013-04,Buso Buso Laurel,31.5,28.0,27.0,8.00,0.01,0.00,,7.31
2013-04,Bañaga Agoncillo,30.5,30.0,27.0,8.00,0.01,0.00,,6.41
2013-04,Bilibinwang Agoncillo,31.0,27.0,26.5,8.00,0.01,0.01,,6.66
2013-04,Subic Ilaya Agoncilo,32.0,27.0,27.0,8.00,0.01,0.01,,7.91
2013-04,San Nicolas,32.0,27.0,27.0,8.25,0.01,0.01,,8.09
2013-04,Mataas na Kahoy,31.0,27.0,27.0,8.25,0.04,0.01,,6.73
2013-04,Tanauan,30.5,27.0,27.0,8.17,0.01,0.01,,6.03
2013-05,Aya Talisay,29.5,,,8.25,,0.00,,7.70
2013-05,Tumaway Talisay,29.5,,,8.25,,0.01,,7.40
2013-05,Sampaloc Talisay,31.0,,,8.50,,0.03,,7.80
2013-05,Berinayan Laurel,33.0,,,9.00,,0.03,,7.00
2013-05,Balakilong Laurel,31.5,,,8.75,,0.03,,7.50
2013-05,Buso Buso Laurel,31.0,,,8.25,,0.01,,7.20
2013-05,Bañaga Agoncillo,31.0,,,8.25,,0.01,,6.70
2013-05,Bilibinwang Agoncillo,31.0,,,8.50,,0.01,,6.80
2013-05,Subic Ilaya Agoncilo,31.5,,,8.75,,0.01,,7.10
2013-05,San Nicolas,32.0,,,8.75,,0.00,,7.80
2013-05,Mataas na Kahoy,31.0,,,8.50,,0.02,,7.50
2013-05,Tanauan,30.0,,,8.25,,0.00,,7.70
2013-06,Aya Talisay,31.0,,,8.70,0.06,0.02,,5.44
2013-06,Tumaway Talisay,31.0,,,8.70,0.07,0.03,,5.73
2013-06,Sampaloc Talisay,31.0,,,8.60,0.08,0.02,,3.31
2013-06,Berinayan Laurel,31.0,,,8.60,0.08,0.03,,4.40
2013-06,Balakilong Laurel,31.0,,,8.60,0.08,0.03,,4.35
2013-06,Buso Buso Laurel,31.0,,,8.60,0.07,0.02,,5.20
2013-06,Bañaga Agoncillo,31.3,,,8.60,0.08,0.03,,4.31
2013-06,Bilibinwang Agoncillo,31.0,,,8.60,0.08,0.05,,5.76
2013-06,Subic Ilaya Agoncilo,31.0,,,8.60,0.08,0.04,,5.38
2013-06,San Nicolas,31.0,,,8.60,0.04,0.08,,6.09
2013-06,Tanauan,31.5,,,8.60,0.04,0.04,,5.64
2013-07,Aya Talisay,29.8,,,8.40,,,,4.80
2013-07,Tumaway Talisay,29.8,,,8.50,,,,5.90
2013-07,Sampaloc Talisay,30.0,,,8.50,,,,4.20
2013-07,Berinayan Laurel,30.6,,,8.40,,,,3.60
2013-07,Balakilong Laurel,30.8,,,8.50,,,,5.60
2013-07,Buso Buso Laurel,30.7,,,8.60,,,,6.80
2013-07,Bañaga Agoncillo,30.8,,,8.50,,,,3.90
2013-07,Bilibinwang Agoncillo,30.8,,,8.50,,,,6.50
2013-07,Subic Ilaya Agoncilo,31.0,,,8.50,,,,6.70
2013-07,San Nicolas,31.3,,,8.50,,,,6.80
2013-07,Mataas na Kahoy,30.8,,,8.50,,,,6.60
2013-07,Tanauan,31.3,,,8.50,,,,6.20
2013-08,Aya Talisay,29.8,,,8.80,0.04,0.19,,7.10
2013-08,Tumaway Talisay,30.0,,,8.60,0.06,0.13,,6.20
2013-08,Sampaloc Talisay,30.0,,,8.30,0.10,0.07,,6.10
